"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.22246990864959","6.34473330173839","6.07657406871278","4.56581397585659","4.6620348966653","5.4781335315168","6.15541250032348","6.57387524825362","6.97733103328886","6.88570815916808","7.06260895262952","7.20410556478703","7.95092658161488","7.72939847240923","8.55987526056083","10.5061679873635","11.004665788226","12.0782735993197","12.6457190699655","11.8256614865158","11.9592076610052","12.1629553353575","12.2609960558751","13.0778061927916","13.2191007102547","","","","","",
"Albania","ALB","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13489722353101","3.33305613402268","4.35899104321787","4.98922169413179","5.18952247433982","6.39218748932647","6.65417842130124","7.06551676160164","7.08023525330021","6.02525375091466","6.65179844935911","7.20174625873496","7.06217072944298","7.70558840423873","7.57991149214117","8.15096377126918","9.280181016365","10.7026212418487","11.5770546919138","12.0368838715076","13.2043722749409","13.3440145467127","15.3020681459738","13.1918323035932","13.9268285815629","","","","","",
"Andorra","AND","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.86902930877381","6.67859886927868","6.57123492768218","6.46129775715317","6.4216196729562","6.59252415005189","6.7677683502184","6.95469330685226","7.3861185204899","7.5041528067701","7.77487909649186","7.51553469218121","7.32029479718083","7.66487923885187","8.08545340920598","8.34062915448724","8.51691357211519","8.75599429143388","8.77719974401484","8.43575594284601","8.42516690871764","8.79965462902049","8.75305859037246","9.15195710983001","9.08287048370842","","","","","",
"United Arab Emirates","ARE","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.52683984993495","5.9178580887579","6.57160279087418","6.47705926467603","6.38212039434494","6.5421709939167","6.67566407768302","6.95502933638779","6.89784262052825","7.05161935596798","8.17417433694851","6.64153708546788","6.96738570958923","7.84820598186211","8.27731150092825","8.41751336072753","9.17485984049355","8.95701946432697","7.96465607704866","7.5241498331385","7.51608155422742","7.86740669759857","7.88125571913984","8.2371015786054","8.68730696444816","","","","","",
"Argentina","ARG","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22604478427797","5.71977094059561","6.00435377916176","6.63173749999582","6.73883122809376","6.58943182726421","6.82892582004247","7.27712770354578","7.38963534616807","7.12058034633958","7.13770093571081","7.32996364967623","6.82648413628524","7.07269949795017","7.24898680201499","8.08783815718059","8.27554886592485","9.14483811343541","9.21229778477296","8.9814293708465","9.60507822607592","10.1521168961193","10.2045584943373","10.3535276616272","9.85669031011596","","","","","",
"Armenia","ARM","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.11476258399041","0.965416583964147","1.13039000163992","1.98819643160269","3.40407147278299","3.11420438291846","3.10006278222493","3.1168720814201","3.32060379165414","3.59894375323959","3.54613871225082","3.98777363306563","4.90112179149924","5.39181899405361","5.78505501226422","5.66346751985441","6.48546419189868","6.79397915469161","7.03131948466227","7.00083536047437","7.60774176454031","7.43587664887042","7.42668049481192","7.99542507002962","8.2734441014287","","","","","",
"American Samoa","ASM","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
